 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=*Finder allerede bræk-spanden frem* lol, jeg skulle ikke snakke:
1-1	*Finder	B-verb.act	
10-60	for	O	
10-61	det	O	
10-62	er	O	
10-63	nok	O	
10-64	det	O	
10-65	jeg	O	
10-66	"	O	
10-67	føler	O	
10-68	"	O	
10-69	mest	O	
10-70	for	O	
10-71	.	O	

#id=11
#text=Althvad der smager godt? lol Morgenmad (ja? lol), brød med nutella, slik, småkager.. whatever? lol
11-1	Alt	O	
11-2	hvad	O	
11-3	der	O	
11-4	smager	O	
11-5	godt	O	
11-6	?	O	
11-7	lol	O	
11-8	Morgenmad	O	
11-9	(	O	
11-10	ja	O	
11-11	?	O	
11-12	lol	O	
11-13	)	O	
11-14	,	O	
11-15	brød	O	
11-16	med	O	
11-17	nutella	O	
11-18	,	O	
11-19	slik	O	
11-20	,	O	
11-21	småkager	O	
11-22	.	O	
11-23	.	O	
11-24	whatever	O	
11-25	?	O	
11-26	lol	O	

#id=12
#text=Det gjorde jeg faktisk - søgte efter et topic, som hed gamle selvhentere, men kunne ikke finde det, og så besluttede jeg mig for, at sort snak måtte være rummet.. :-) - for fra de første billeder jeg havde af dig, havde du ikke krøller (som i - de kunne ikke ses..) derfor tænkte jeg hmm, det var da herligt... :-)) og derfor kom emnet naturligt... :-) alt det så er blevet til diskussion af alt muligt, det er en anden sag, det sker ofte med diskussioner, de ryger fra en ting til en anden (også i det rigtige liv.. :-)
12-1	Det	O	
12-2	gjorde	O	
12-3	jeg	O	
12-4	faktisk	O	
12-5	-	O	
12-6	søgte	O	
12-7	efter	O	
12-8	et	O	
12-9	topic	O	
12-10	,	O	
12-11	som	O	
12-12	hed	O	
12-13	gamle	O	
12-14	selvhentere	O	
12-15	,	O	
12-16	men	O	
12-17	kunne	O	
12-18	ikke	O	
12-19	finde	O	
12-20	det	O	
12-21	,	O	
12-22	og	O	
12-23	så	O	
12-24	besluttede	O	
12-25	jeg	O	
12-26	mig	O	
12-27	for	O	
12-28	,	O	
12-29	at	O	
12-30	sort	O	
12-31	snak	O	
12-32	måtte	O	
12-33	være	O	
12-34	rummet	O	
12-35	.	O	
12-36	.	O	
12-37	:	O	
12-38	-	O	
12-39	)	O	
12-40	-	O	
12-41	for	O	
12-42	fra	O	
12-43	de	O	
12-44	første	O	
12-45	billeder	O	
12-46	jeg	O	
12-47	havde	O	
12-48	af	O	
12-49	dig	O	
12-50	,	O	
12-51	havde	O	
12-52	du	O	
12-53	ikke	O	
12-54	krøller	O	
12-55	(	O	
12-56	som	O	
12-57	i	O	
12-58	-	O	
12-59	de	O	
12-60	kunne	O	
12-61	ikke	O	
12-62	ses	O	
12-63	.	O	
12-64	.	O	
12-65	)	O	
12-66	derfor	O	
12-67	tænkte	O	
12-68	jeg	O	
12-69	hmm	O	
12-70	,	O	
12-71	det	O	
12-72	var	O	
12-73	da	O	
12-74	herligt	O	
12-75	.	O	
12-76	.	O	
12-77	.	O	
12-78	:	O	
12-79	-	O	
12-80	)	O	
12-81	)	O	
12-82	og	O	
12-83	derfor	O	
12-84	kom	O	
12-85	emnet	O	
12-86	naturligt	O	
12-87	.	O	
12-88	.	O	
12-89	.	O	
12-90	:	O	
12-91	-	O	
12-92	)	O	
12-93	alt	O	
12-94	det	O	
12-95	så	O	
12-96	er	O	
12-97	blevet	O	
12-98	til	O	
12-99	diskussion	O	
12-100	af	O	
12-101	alt	O	
12-102	muligt	O	
12-103	,	O	
12-104	det	O	
12-105	er	O	
12-106	en	O	
12-107	anden	O	
12-108	sag	O	
12-109	,	O	
12-110	det	O	
12-111	sker	O	
12-112	ofte	O	
12-113	med	O	
12-114	diskussioner	O	
12-115	,	O	
12-116	de	O	
12-117	ryger	O	
12-118	fra	O	
12-119	en	O	
12-120	ting	O	
12-121	til	O	
12-122	en	O	
12-123	anden	O	
12-124	(	O	
12-125	også	O	
12-126	i	O	
12-127	det	O	
12-128	rigtige	O	
12-129	liv	O	
12-130	.	O	
12-131	.	O	
12-132	:	O	
12-133	-	O	
12-134	)	O	

#id=13
#text=Præcis :)
13-1	Præcis	O	
13-2	:	O	
13-3	)	O	

#id=14
#text=Jegspiser flere dåser tun om ugen.. nogle dage flere om dagen, men igen - min mor er bekymret over indholdet af kviksølv, så forsøger at stoppe mig..
14-1	Jeg	O	
14-2	spiser	O	
14-3	flere	O	
14-4	dåser	O	
14-5	tun	O	
14-6	om	O	
14-7	ugen	O	
14-8	.	O	
14-9	.	O	
14-10	nogle	O	
14-11	dage	O	
14-12	flere	O	
14-13	om	O	
14-14	dagen	O	
14-15	,	O	
14-16	men	O	
14-17	igen	O	
14-18	-	O	
14-19	min	O	
14-20	mor	O	
14-21	er	O	
14-22	bekymret	O	
14-23	over	O	
14-24	indholdet	O	
14-25	af	O	
14-26	kviksølv	O	
14-27	,	O	
14-28	så	O	
14-29	forsøger	O	
14-30	at	O	
14-31	stoppe	O	
14-32	mig	O	
14-33	.	O	
14-34	.	O	

#id=15
#text=NØJ hvor bliver du rig nu! :D
15-1	NØJ	O	
15-2	hvor	O	
15-3	bliver	O	
15-4	du	O	
15-5	rig	O	
15-6	nu	O	
15-7	!	O	
15-8	:	O	
15-9	D	O	

#id=16
#text=God..
16-1	God	O	
16-2	.	O	
16-3	.	O	

#id=17
#text=De fleste rører mig ikke...
17-1	De	O	
17-2	fleste	O	
17-3	rører	O	
17-4	mig	O	
17-5	ikke	O	
17-6	.	O	
17-7	.	O	
17-8	.	O	

#id=18
#text= Naturen er jo ikke noget der er bevidst i sig selv, så naturen kan på ingen måde havde forudbestemt hvordan vi skal handle.
18-1	Naturen	O	
18-2	er	O	
18-3	jo	O	
18-4	ikke	O	
18-5	noget	O	
18-6	der	O	
18-7	er	O	
18-8	bevidst	O	
18-9	i	O	
18-10	sig	O	
18-11	selv	O	
18-12	,	O	
18-13	så	O	
18-14	naturen	O	
18-15	kan	O	
18-16	på	O	
18-17	ingen	O	
18-18	måde	O	
18-19	havde	O	
18-20	forudbestemt	O	
18-21	hvordan	O	
18-22	vi	O	
18-23	skal	O	
18-24	handle	O	
18-25	.	O	

#id=19
#text=Tyskere skumler.)
19-1	Tyskere	O	
19-2	skumler	O	
19-3	.	O	
19-4	)	O	

#id=20
#text=Men godt indlæg.
20-1	Men	O	
20-2	godt	O	
20-3	indlæg	O	
20-4	.	O	

#id=21
#text=Men det er jo din beslutning ;)
21-1	Men	O	
21-2	det	O	
21-3	er	O	
21-4	jo	O	
21-5	din	O	
21-6	beslutning	O	
21-7	;	O	
21-8	)	O	

#id=22
#text=Hehe, giver dig ret :D Måske lodret, og med Arial Black?
22-1	Hehe	O	
22-2	,	O	
22-3	giver	O	
22-4	dig	O	
22-5	ret	O	
22-6	:	O	
22-7	D	O	
22-8	Måske	O	
22-9	lodret	O	
22-10	,	O	
22-11	og	O	
22-12	med	O	
22-13	Arial	O	
22-14	Black	O	
22-15	?	O	

#id=23
#text=Men man kan dog nemt kombinere de ting.
23-1	Men	O	
23-2	man	O	
23-3	kan	O	
23-4	dog	O	
23-5	nemt	O	
23-6	kombinere	O	
23-7	de	O	
23-8	ting	O	
23-9	.	O	

#id=24
#text=Så er det dig, der skal fortælle os hvorfor! *G*
24-1	Så	O	
24-2	er	O	
24-3	det	O	
24-4	dig	O	
24-5	,	O	
24-6	der	O	
24-7	skal	O	
24-8	fortælle	O	
24-9	os	O	
24-10	hvorfor	O	
24-11	!	O	
24-12	*G*	O	

#id=25
#text=Ved ikke, siden de flyttede ind? :shock:
25-1	Ved	O	
25-2	ikke	O	
25-3	,	O	
25-4	siden	O	
25-5	de	O	
25-6	flyttede	O	
25-7	ind	O	
25-8	?	O	
25-9	:	O	
25-10	shock	O	
25-11	:	O	

#id=26
#text=Du siger selv det skal være om sommeren så det ville måske passe meget godt?
26-1	Du	O	
26-2	siger	O	
26-3	selv	O	
26-4	det	O	
26-5	skal	O	
26-6	være	O	
26-7	om	O	
26-8	sommeren	O	
26-9	så	O	
26-10	det	O	
26-11	ville	O	
26-12	måske	O	
26-13	passe	O	
26-14	meget	O	
26-15	godt	O	
26-16	?	O	

#id=27
#text=Synes jeg?!
27-1	Synes	O	
27-2	jeg	O	
27-3	?	O	
27-4	!	O	

#id=28
#text=

#id=29
#text=Hahahaha..
29-1	Hahahaha	O	
29-2	.	O	
29-3	.	O	

#id=30
#text=Det fik ham til at tænke over hvor meget han holder af mig, og af andre ting i hverdagen, og det er vidst dét der er meningen :)
30-1	Det	O	
30-2	fik	O	
30-3	ham	O	
30-4	til	O	
30-5	at	O	
30-6	tænke	O	
30-7	over	O	
30-8	hvor	O	
30-9	meget	O	
30-10	han	O	
30-11	holder	O	
30-12	af	O	
30-13	mig	O	
30-14	,	O	
30-15	og	O	
30-16	af	O	
30-17	andre	O	
30-18	ting	O	
30-19	i	O	
30-20	hverdagen	O	
30-21	,	O	
30-22	og	O	
30-23	det	O	
30-24	er	O	
30-25	vidst	O	
30-26	dét	O	
30-27	der	O	
30-28	er	O	
30-29	meningen	O	
30-30	:	O	
30-31	)	O	

#id=31
#text=Varnok mest for Heinz tidligere men er gået over til en eller anden netto ketchup som smager syyyyyyret godt :D Den hedder bare "Tomat Ketchup" eller noget..lol ;)
31-1	Var	O	
31-2	nok	O	
31-3	mest	O	
31-4	for	O	
31-5	Heinz	O	
31-6	tidligere	O	
31-7	men	O	
31-8	er	O	
31-9	gået	O	
31-10	over	O	
31-11	til	O	
31-12	en	O	
31-13	eller	O	
31-14	anden	O	
31-15	netto	O	
31-16	ketchup	O	
31-17	som	O	
31-18	smager	O	
31-19	syyyyyyret	O	
31-20	godt	O	
31-21	:	O	
31-22	D	O	
31-23	Den	O	
31-24	hedder	O	
31-25	bare	O	
31-26	"	O	
31-27	Tomat	O	
31-28	Ketchup	O	
31-29	"	O	
31-30	eller	O	
31-31	noget	O	
31-32	.	O	
31-33	.	O	
31-34	lol	O	
31-35	;	O	
31-36	)	O	

#id=32
#text=Lægger mig til at sove selvfølgelig.
32-1	Lægger	O	
32-2	mig	O	
32-3	til	O	
32-4	at	O	
32-5	sove	O	
32-6	selvfølgelig	O	
32-7	.	O	

#id=33
#text=Kan du huske det med parykkerne??
33-1	Kan	O	
33-2	du	O	
33-3	huske	O	
33-4	det	O	
33-5	med	O	
33-6	parykkerne	O	
33-7	?	O	
33-8	?	O	

#id=34
#text= Nope, de har lavet det om.
34-1	Nope	O	
34-2	,	O	
34-3	de	O	
34-4	har	O	
34-5	lavet	O	
34-6	det	O	
34-7	om	O	
34-8	.	O	

#id=35
#text=Smagte fint! size=9:e28731dd04)Skulle i bare lige vide./size:e28731dd04)
35-1	Smagte	O	
35-2	fint	O	
35-3	!	O	
35-4	size=9	O	
35-5	:	O	
35-6	e28731dd04	O	
35-7	)	O	
35-8	Skulle	O	
35-9	i	O	
35-10	bare	O	
35-11	lige	O	
35-12	vide	O	
35-13	.	O	
35-14	/	O	
35-15	size	O	
35-16	:	O	
35-17	e28731dd04	O	
35-18	)	O	

#id=36
#text=Nej.
36-1	Nej	O	
36-2	.	O	

#id=37
#text=Ja,de spillede engang på et diskotek i det provinshul jeg engang boede i.
37-1	Ja	O	
37-2	,	O	
37-3	de	O	
37-4	spillede	O	
37-5	engang	O	
37-6	på	O	
37-7	et	O	
37-8	diskotek	O	
37-9	i	O	
37-10	det	O	
37-11	provinshul	O	
37-12	jeg	O	
37-13	engang	O	
37-14	boede	O	
37-15	i	O	
37-16	.	O	

#id=38
#text=Jeg er herre god til det.
38-1	Jeg	O	
38-2	er	O	
38-3	herre	O	
38-4	god	O	
38-5	til	O	
38-6	det	O	
38-7	.	O	

#id=39
#text=Det irriterer mig!
39-1	Det	O	
39-2	irriterer	O	
39-3	mig	O	
39-4	!	O	

#id=40
#text=Det var fedt nok da kun få havde det..
40-1	Det	O	
40-2	var	O	
40-3	fedt	O	
40-4	nok	O	
40-5	da	O	
40-6	kun	O	
40-7	få	O	
40-8	havde	O	
40-9	det	O	
40-10	.	O	
40-11	.	O	

#id=41
#text=Jeg er enig, er imod dødsstraf - fængsel for livstid mener jeg er en langt mere hård straf, men en mand som Saddam kan umuligt have en samvittighed, så for ham er det måske ikke?
41-1	Jeg	O	
41-2	er	O	
41-3	enig	O	
41-4	,	O	
41-5	er	O	
41-6	imod	O	
41-7	dødsstraf	O	
41-8	-	O	
41-9	fængsel	O	
41-10	for	O	
41-11	livstid	O	
41-12	mener	O	
41-13	jeg	O	
41-14	er	O	
41-15	en	O	
41-16	langt	O	
41-17	mere	O	
41-18	hård	O	
41-19	straf	O	
41-20	,	O	
41-21	men	O	
41-22	en	O	
41-23	mand	O	
41-24	som	O	
41-25	Saddam	O	
41-26	kan	O	
41-27	umuligt	O	
41-28	have	O	
41-29	en	O	
41-30	samvittighed	O	
41-31	,	O	
41-32	så	O	
41-33	for	O	
41-34	ham	O	
41-35	er	O	
41-36	det	O	
41-37	måske	O	
41-38	ikke	O	
41-39	?	O	

#id=42
#text=Og lige for at gøre det hele relavant.
42-1	Og	O	
42-2	lige	O	
42-3	for	O	
42-4	at	O	
42-5	gøre	O	
42-6	det	O	
42-7	hele	O	
42-8	relavant	O	
42-9	.	O	

#id=43
#text=Og 3'eren har jo fået supergode anmeldelser, så :> De har virkelig en eller anden magi over sig, synes jeg.
43-1	Og	O	
43-2	3	O	
43-3	'	O	
43-4	eren	O	
43-5	har	O	
43-6	jo	O	
43-7	fået	O	
43-8	supergode	O	
43-9	anmeldelser	O	
43-10	,	O	
43-11	så	O	
43-12	:	O	
43-13	>	O	
43-14	De	O	
43-15	har	O	
43-16	virkelig	O	
43-17	en	O	
43-18	eller	O	
43-19	anden	O	
43-20	magi	O	
43-21	over	O	
43-22	sig	O	
43-23	,	O	
43-24	synes	O	
43-25	jeg	O	
43-26	.	O	

#id=44
#text=NOgen der har nogen ideer?
44-1	NOgen	O	
44-2	der	O	
44-3	har	O	
44-4	nogen	O	
44-5	ideer	O	
44-6	?	O	

#id=45
#text=LOL JA!
45-1	LOL	O	
45-2	JA	O	
45-3	!	O	

#id=46
#text=Det er vanvid.
46-1	Det	O	
46-2	er	O	
46-3	vanvid	O	
46-4	.	O	

#id=47
#text=Ja okay..
47-1	Ja	O	
47-2	okay	O	
47-3	.	O	
47-4	.	O	

#id=48
#text=JimCarrey John Cleese Elijah Woods Andy Serkis Der er sikkert mange flere... men det er lige nogen, jeg sådan umidelbart kan ryste ud af ærmet på t-shirten...
48-1	Jim	O	
48-2	Carrey	O	
48-3	John	O	
48-4	Cleese	O	
48-5	Elijah	O	
48-6	Woods	O	
48-7	Andy	O	
48-8	Serkis	O	
48-9	Der	O	
48-10	er	O	
48-11	sikkert	O	
48-12	mange	O	
48-13	flere	O	
48-14	.	O	
48-15	.	O	
48-16	.	O	
48-17	men	O	
48-18	det	O	
48-19	er	O	
48-20	lige	O	
48-21	nogen	O	
48-22	,	O	
48-23	jeg	O	
48-24	sådan	O	
48-25	umidelbart	O	
48-26	kan	O	
48-27	ryste	O	
48-28	ud	O	
48-29	af	O	
48-30	ærmet	O	
48-31	på	O	
48-32	t	O	
48-33	-	O	
48-34	shirten	O	
48-35	.	O	
48-36	.	O	
48-37	.	O	

#id=49
#text=Kanvi ikke lige få opsumeret hvornår det er man skifter rang?
49-1	Kan	O	
49-2	vi	O	
49-3	ikke	O	
49-4	lige	O	
49-5	få	O	
49-6	opsumeret	O	
49-7	hvornår	O	
49-8	det	O	
49-9	er	O	
49-10	man	O	
49-11	skifter	O	
49-12	rang	O	
49-13	?	O	

#id=50
#text=Troedeskam også at hun var en dreng :) (Men hun havde velopmærket ingen hjemmeside hvor man kunne kontrollere det! :P )
50-1	Troede	O	
50-2	skam	O	
50-3	også	O	
50-4	at	O	
50-5	hun	O	
50-6	var	O	
50-7	en	O	
50-8	dreng	O	
50-9	:	O	
50-10	)	O	
50-11	(	O	
50-12	Men	O	
50-13	hun	O	
50-14	havde	O	
50-15	velopmærket	O	
50-16	ingen	O	
50-17	hjemmeside	O	
50-18	hvor	O	
50-19	man	O	
50-20	kunne	O	
50-21	kontrollere	O	
50-22	det	O	
50-23	!	O	
50-24	:	O	
50-25	P	O	
50-26	)	O	

#id=51
#text=Hmm, helene :)
51-1	Hmm	O	
51-2	,	O	
51-3	helene	O	
51-4	:	O	
51-5	)	O	

#id=52
#text=Jeg har Norton, der har ikke været noget hos mig...
52-1	Jeg	O	
52-2	har	O	
52-3	Norton	O	
52-4	,	O	
52-5	der	O	
52-6	har	O	
52-7	ikke	O	
52-8	været	O	
52-9	noget	O	
52-10	hos	O	
52-11	mig	O	
52-12	.	O	
52-13	.	O	
52-14	.	O	

#id=53
#text=Jegkan godt lide 3'eren...
53-1	Jeg	O	
53-2	kan	O	
53-3	godt	O	
53-4	lide	O	
53-5	3	O	
53-6	'	O	
53-7	eren	O	
53-8	.	O	
53-9	.	O	
53-10	.	O	

#id=54
#text=Densidste jeg købte var Ardenbeauty for lang tid siden, men den sidste jeg fik var Armani - White i julegave..
54-1	Den	O	
54-2	sidste	O	
54-3	jeg	O	
54-4	købte	O	
54-5	var	O	
54-6	Ardenbeauty	O	
54-7	for	O	
54-8	lang	O	
54-9	tid	O	
54-10	siden	O	
54-11	,	O	
54-12	men	O	
54-13	den	O	
54-14	sidste	O	
54-15	jeg	O	
54-16	fik	O	
54-17	var	O	
54-18	Armani	O	
54-19	-	O	
54-20	White	O	
54-21	i	O	
54-22	julegave	O	
54-23	.	O	
54-24	.	O	

#id=55
#text=Harfødselsdag d.
55-1	Har	O	
55-2	fødselsdag	O	
55-3	d	O	
55-4	.	O	

#id=56
#text=Kan jeg også.
56-1	Kan	O	
56-2	jeg	O	
56-3	også	O	
56-4	.	O	

#id=57
#text=Kom lige i tanker om den der der var for et stykke tid siden, ed en totalt rock-musiker med langt hår osv, der kommer hjem til bedstemoren og prøver at låne penge eller sådan noget, hvor de tror de må låne pengene, men hvor hun siger "KLIP DIT HÅR OG FÅ DIG ET ARBEJDE" Der er også den hvor de sælger deres sjæl til satan for at få udstyr, og så et det igen bessemoren der kommer frem?! :)
57-1	Kom	O	
57-2	lige	O	
57-3	i	O	
57-4	tanker	O	
57-5	om	O	
57-6	den	O	
57-7	der	O	
57-8	der	O	
57-9	var	O	
57-10	for	O	
57-11	et	O	
57-12	stykke	O	
57-13	tid	O	
57-14	siden	O	
57-15	,	O	
57-16	ed	O	
57-17	en	O	
57-18	totalt	O	
57-19	rock	O	
57-20	-	O	
57-21	musiker	O	
57-22	med	O	
57-23	langt	O	
57-24	hår	O	
57-25	osv	O	
57-26	,	O	
57-27	der	O	
57-28	kommer	O	
57-29	hjem	O	
57-30	til	O	
57-31	bedstemoren	O	
57-32	og	O	
57-33	prøver	O	
57-34	at	O	
57-35	låne	O	
57-36	penge	O	
57-37	eller	O	
57-38	sådan	O	
57-39	noget	O	
57-40	,	O	
57-41	hvor	O	
57-42	de	O	
57-43	tror	O	
57-44	de	O	
57-45	må	O	
57-46	låne	O	
57-47	pengene	O	
57-48	,	O	
57-49	men	O	
57-50	hvor	O	
57-51	hun	O	
57-52	siger	O	
57-53	"	O	
57-54	KLIP	O	
57-55	DIT	O	
57-56	HÅR	O	
57-57	OG	O	
57-58	FÅ	O	
57-59	DIG	O	
57-60	ET	O	
57-61	ARBEJDE	O	
57-62	"	O	
57-63	Der	O	
57-64	er	O	
57-65	også	O	
57-66	den	O	
57-67	hvor	O	
57-68	de	O	
57-69	sælger	O	
57-70	deres	O	
57-71	sjæl	O	
57-72	til	O	
57-73	satan	O	
57-74	for	O	
57-75	at	O	
57-76	få	O	
57-77	udstyr	O	
57-78	,	O	
57-79	og	O	
57-80	så	O	
57-81	et	O	
57-82	det	O	
57-83	igen	O	
57-84	bessemoren	O	
57-85	der	O	
57-86	kommer	O	
57-87	frem	O	
57-88	?	O	
57-89	!	O	
57-90	:	O	
57-91	)	O	

#id=58
#text=Deter/har været mest TV3 + 3+?
58-1	Det	O	
58-2	er	O	
58-3	/	O	
58-4	har	O	
58-5	været	O	
58-6	mest	O	
58-7	TV3	O	
58-8	+	O	
58-9	3+	O	
58-10	?	O	

#id=59
#text=SUPER REKLAME!!!!! (host-ironi-kan-vi-li-host)
59-1	SUPER	O	
59-2	REKLAME	O	
59-3	!	O	
59-4	!	O	
59-5	!	O	
59-6	!	O	
59-7	!	O	
59-8	(	O	
59-9	host	O	
59-10	-	O	
59-11	ironi	O	
59-12	-	O	
59-13	kan	O	
59-14	-	O	
59-15	vi	O	
59-16	-	O	
59-17	li	O	
59-18	-	O	
59-19	host	O	
59-20	)	O	

#id=60
#text=René
60-1	René	O	

#id=61
#text=Påfølgende side, er det muligt at spille det klassiske vendespil, med virtuelle sokker:
61-1	På	O	
61-2	følgende	O	
61-3	side	O	
61-4	,	O	
61-5	er	O	
61-6	det	O	
61-7	muligt	O	
61-8	at	O	
61-9	spille	O	
61-10	det	O	
61-11	klassiske	O	
61-12	vendespil	O	
61-13	,	O	
61-14	med	O	
61-15	virtuelle	O	
61-16	sokker	O	
61-17	:	O	

#id=62
#text=Desuden er det hurtigere at cykle, end det er at køre i bil (der hvor jeg bor... pga. trafikken om morgnen)!
62-1	Desuden	O	
62-2	er	O	
62-3	det	O	
62-4	hurtigere	O	
62-5	at	O	
62-6	cykle	O	
62-7	,	O	
62-8	end	O	
62-9	det	O	
62-10	er	O	
62-11	at	O	
62-12	køre	O	
62-13	i	O	
62-14	bil	O	
62-15	(	O	
62-16	der	O	
62-17	hvor	O	
62-18	jeg	O	
62-19	bor	O	
62-20	.	O	
62-21	.	O	
62-22	.	O	
62-23	pga	O	
62-24	.	O	
62-25	trafikken	O	
62-26	om	O	
62-27	morgnen	O	
62-28	)	O	
62-29	!	O	

#id=63
#text=Sorry bare mig der sover!
63-1	Sorry	O	
63-2	bare	O	
63-3	mig	O	
63-4	der	O	
63-5	sover	O	
63-6	!	O	

#id=64
#text=Friske jordbær i januar måned!
64-1	Friske	O	
64-2	jordbær	O	
64-3	i	O	
64-4	januar	O	
64-5	måned	O	
64-6	!	O	

#id=65
#text=Eller - begge dele?
65-1	Eller	O	
65-2	-	O	
65-3	begge	O	
65-4	dele	O	
65-5	?	O	

#id=66
#text=Jeg vil vælge at tag det positivt, og måske skulle jeg blande mig mere inde i livstil.
66-1	Jeg	O	
66-2	vil	O	
66-3	vælge	O	
66-4	at	O	
66-5	tag	O	
66-6	det	O	
66-7	positivt	O	
66-8	,	O	
66-9	og	O	
66-10	måske	O	
66-11	skulle	O	
66-12	jeg	O	
66-13	blande	O	
66-14	mig	O	
66-15	mere	O	
66-16	inde	O	
66-17	i	O	
66-18	livstil	O	
66-19	.	O	

#id=67
#text=hOVHAVDE OGSÅ EN DEL FRA DET (hov capslock) første album, wildlife
67-1	hOV	O	
67-2	HAVDE	O	
67-3	OGSÅ	O	
67-4	EN	O	
67-5	DEL	O	
67-6	FRA	O	
67-7	DET	O	
67-8	(	O	
67-9	hov	O	
67-10	capslock	O	
67-11	)	O	
67-12	første	O	
67-13	album	O	
67-14	,	O	
67-15	wildlife	O	

#id=68
#text=Dukan også skrive om en æske med en masse små ting, som en eller anden mand har samlet sammen da han var dreng.
68-1	Du	O	
68-2	kan	O	
68-3	også	O	
68-4	skrive	O	
68-5	om	O	
68-6	en	O	
68-7	æske	O	
68-8	med	O	
68-9	en	O	
68-10	masse	O	
68-11	små	O	
68-12	ting	O	
68-13	,	O	
68-14	som	O	
68-15	en	O	
68-16	eller	O	
68-17	anden	O	
68-18	mand	O	
68-19	har	O	
68-20	samlet	O	
68-21	sammen	O	
68-22	da	O	
68-23	han	O	
68-24	var	O	
68-25	dreng	O	
